Hvor kjøper jeg billett?|Du kan kjøpe billet fra Vy.no, Vy Appen, Billettautomat, Betjent Stasjon, Narvesen, Ombord i Toget og hos Kundeservice|1|5|Billetter
Hvordan kjøper jeg periodebillett?|Det enkleste for deg er å kjøpe periodebilletten i appen. Vi tilbyr også periodebillett for Ruter, Kolumbus og Skyss. Enkelte varianter selger vi kun i appen. Du kan også kjøpe periodebillett på vy.no. Du kan ikke kjøpe periodebillett om bord. Du kan kjøpe setereservasjon som en tilleggstjeneste til din periodebillett i appen. Periodebilletten er personlig, og kan ikke benyttes av andre.|3|2|Billetter
Hvordan henter jeg billetter kjøpt på vy.no?|Det enkleste er å hente ut billetten via appen. Den kan også lastes ned som PDF eller hentes ut om bord, på billettautomat, på betjent stasjon og hos enkelte Narvesen-kiosker.|10|3|Billetter
Hva er reisekort?|Med reisekort reiser du med elektronisk billett hos Vy og Ruter, som samarbeider om kortsystemet elektronisk reisekort. Reisekortet gjelder i Oslo og Akershus. Du kan kjøpe reisekort fra kundeservice eller på betjent stasjon.|20|3|Billetter
Hvordan kjøper jeg gavekort?|Du kan ikke lenger kjøpe gavekort, men kunder kan få gavekort av oss i ulike sammenhenger.|3|10|Billetter
Hvor lenge før avreise kan jeg kjøpe togbillett?|Billetter legges ut for salg 90 dager før avgang. Det kan være kortere salgsperiode ved planlagte arbeider på strekningen eller i forbindelse med ruteendringer i juni og desember.|32|7|Billetter

Hvordan kan jeg endre eller avbestille billetten?|For å endre billetten din, må du først avbestille den og så kjøpe ny billett til avgangen du skal reise med.|3|7|Endring og Refusjon
Hvordan endrer jeg navn på billetten?|Når du kjøper billetter så er det navnet til den som bestiller som står på billettene. Det er altså ikke noe i veien for at det står samme navn på flere billetter, så lenge personen som bestilte billettene skal være med på reisen. Hvis ikke personen som står oppført på billettene blir med på reisen, ring eller chat med kundeservice for å endre navn.|4|2|Endring og Refusjon
Hvordan endrer jeg setereservasjonen min?|For å endre setevalg på en betalt enkeltbillett må du først avbestille billetten. Du kan da kjøpe ny billett med ønsket setevalg. Du kan også kontakte ombordpersonalet på reisen – dersom de har tilgjengelige seter som passer deg bedre kan du benytte deg av disse ledige setene.|10|3|Endring og Refusjon
Kan jeg få erstatning for merkostnader ved forsinkelse?|I situasjoner der du må ta i bruk alternativ transport eller får andre utgifter i forbindelse med forsinkelse eller kansellering av tog, kan du få refundert hele eller deler av utleggene. Dette må gjøres skriftlig med vedlagt dokumentasjon innen tre måneder etter hendelsen.|12|3|Endring og Refusjon

Hvor mye bagasje kan jeg ha med?|Du kan ta med deg inntil 30 kilo fordelt på maksimum 3 kolli. Har du mer enn dette og skal reise mellom Oslo og Voss/Bergen eller Trondheim, kan du benytte bagasjetransport.|30|4|Bagasje
Kan jeg ha med kjæledyr?|Dyrene som får bli med på tog er hund, katt, gnagere i bur, burfugl og små skilpadder. Du kan ta med akvariefisk så lenge de er forsvarlig pakket. Andre dyr er ikke ønsket på toget. Eksempler på dyr som ikke er ønsket er insekter, edderkopper, krypdyr/reptiler og amfibier.|40|35|Bagasje
Kan jeg ha med sykkel?|Ja. Husk å forhåndsregistrere sykkelplass på vy.no eller i appen hvis du skal reise med regiontog eller Gjøvikbanen. Skal du reise med lokaltog kjøper du sykkelbillett om bord.|15|3|Bagasje
Kan jeg ha med ski eller snøbrett?|Ja. Ski og snøbrett skal plasseres på anviste steder, og du er selv ansvarlig for utstyret under reisen. Ski må være pakket forsvarlig.|35|10|Bagasje
Kan jeg ha med pulk, rattkjelke eller sparkstøtting?|Pulk, rattkjelke og sparkstøtting er bagasje som på grunn av volum, form og størrelse vanskelig kan plasseres i bagasjehyller om bord i toget. Derfor må du bestille plass på samme måte som for sykkel. Du må betale sykkelbillett, og du er selv ansvarlig for inn- og utlasting.|10|8|Bagasje
Finnes det oppbevaringsbokser for bagasje på stasjonen?|For informasjon om fasiliteter på stasjonene, se stasjonssidene på banenor.no, da det er Bane NOR som drifter stasjonene|8|15|Bagasje

Hvordan laster jeg ned appen?|Du kan laste ned appen fra App Store (iOS) eller Google Play (Android).|12|3|Vy-Appen
Kan jeg kjøpe billett for Ruter, Kolumbus og Skyss?|Du kan kjøpe periodebillett for Ruter, Kolumbus og Skyss og enkeltbillett for Ruter.|15|3|Vy-Appen
Hvordan betaler jeg?|Du kan betale med kredittkort eller Vipps.|30|4|Vy-Appen
Jeg har slettet appen og billetten(e) er borte. Hva gjør jeg?|Da må du kontakte kundeservice eller en betjent stasjon slik at vi kan tilbakestille billetten din. Har du periodebillett kan du overføre denne selv ved å laste ned en erstatningsbillett etter å ha installert appen på nytt. Enkeltbilletter kan du også laste ned på nytt frem til dagen før avreise.|40|5|Vy-Appen
Hva er pushvarsling og hvordan aktiverer jeg dette?|Pushvarsling er en funksjonalitet i appen som gjør at du automatisk får beskjed dersom det er endringer eller avvik som påvirker avgangen på reisen din. Har du periodebillett aktiverer du pushvarsling under «Favoritter». Har du kjøpt en enkeltbillett aktiveres pushvarsling automatisk for reisen.|32|7|Vy-Appen
